prev_elections,miflaga,12,14,15,18,22/11/2016,22/11/2016,22/11/2016,24/11/2016,24/11/2016,25/11/2016,25/11/2016,30/11/2016,1/12/2016,1/12/2016,2/12/2016,2/12/2016,7/12/2016,7/12/2016,7/12/2016,8/12/2016,8/12/2016,9/12/2016,9/12/2016,12/12/2016,15/12/2016,15/12/2016,16/12/2016,16/12/2016,16/12/2016,20/12/2016,20/12/2016,21/12/2016,22/12/2016,22/12/2016,23/12/2016,23/12/2016,23/12/2016,29/12/2016,29/12/2016,29/12/2016,30/12/2016,30/12/2016,4/1/2016,6/1/2016,6/1/2016,6/1/2016,10/1/2016,10/1/2016,11/1/2016,13/01/2016,13/01/2016,17/01/2016,19/01/2016,19/01/2016,19/01/2016,19/01/2016,19/01/2016,20/01/2016,26/01/2016,26/01/2016,26/01/2016,26/01/2016,26/01/2016,27/01/2016,30/01/2016,1/2/2016,2/2/2016,2/2/2016,3/2/2016,3/2/2016,9/2/2016,9/2/2016,9/2/2016,9/2/2016,10/2/2016,10/2/2016,14/02/2016,15/02/2016,16/02/2016,16/02/2016,16/02/2016,16/02/2016,16/02/2016,17/02/2016,22/02/2016,23/02/2016,23/02/2016,23/02/2016,24/02/2016,24/02/2016,1/3/2016,2/3/2016,2/3/2016,2/3/2016,2/3/2016,3/3/2016,3/3/2016,8/3/2016,9/3/2016,9/3/2016,9/3/2016,9/3/2016,14/03/2016,15/03/2016,16/03/2016,16/03/2016,16/03/2016,16/03/2016,16/03/2016,17/03/2016,21/03/2016,22/03/2016,22/03/2016,23/03/2016,23/03/2016,23/03/2016,23/03/2016,23/03/2016,26/03/2016,26/03/2016,27/03/2016,27/03/2016,28/03/2016,28/03/2016,28/03/2016,28/03/2016,28/03/2016,result
0,kadima,5,3,5,2,30,30,33,32,34,34,33,34,34,37,39,42,39,39,41,40,37,39,42,41,35,33,39,38,39,39,42,39,38,33,40,39,41,42,37,37,40,39,42,40,39,35,45,40,44,43,42,42,43,40,41,37,41,43,40,44,41,39,40,44,42,43,37,39,42,42,40,43,38,40,40,39,39,40,39,41,38,41,39,38,39,40,36,39,39,38,37,39,38,36,36,38,36,37,38,37,35,34,42,37,39,39,43,36,36,35,39,36,33,37,36,33,34,34,36,34,34,34,29,32,31,30,30,29
22,avoda,9,9,9,8,26,26,26,25,28,28,26,27,24,26,26,19,22,24,17,17,21,23,23,21,24,23,22,23,18,21,22,21,20,21,19,22,15,17,17,20,19,21,19,18,20,19,18,16,16,17,17,19,21,21,17,18,19,20,19,21,22,22,16,21,19,21,16,16,19,21,21,20,17,17,21,19,17,19,20,20,19,17,17,19,19,20,19,17,19,19,19,21,15,19,16,20,18,19,19,20,19,18,16,20,20,19,14,21,18,21,17,17,20,21,21,17,20,19,18,19,17,21,22,22,20,21,19,19
40,likud,6,9,9,12,15,15,12,12,15,13,13,10,12,9,11,12,12,13,15,16,14,13,9,11,12,12,13,11,15,13,13,14,16,16,15,12,14,16,17,17,16,14,14,13,16,17,15,15,13,16,13,16,12,14,15,15,17,14,17,14,13,16,15,13,16,13,16,17,16,15,15,15,15,17,15,16,20,13,15,15,17,18,17,17,14,15,14,17,16,17,15,18,17,16,17,15,18,17,17,14,15,17,15,16,15,15,16,17,15,16,17,14,15,14,14,16,18,15,14,12,14,13,11,11,12,10,10,12
11,shas,,,,,9,10,10,8,8,8,10,11,10,10,8,12,8,8,9,10,9,10,8,10,10,10,8,10,13,10,8,9,11,10,9,10,13,9,11,10,9,9,9,10,9,11,11,10,10,9,10,9,9,9,9,10,10,11,11,9,10,10,9,9,10,9,9,9,10,10,10,11,9,8,9,9,8,10,10,10,9,8,9,10,9,9,8,9,10,9,10,9,8,9,9,10,9,10,9,11,8,9,9,10,9,11,9,10,9,10,8,11,8,9,11,9,8,10,11,8,12,11,11,10,11,12,11,12
3,israel_beytenu,5,6,5,6,3,6,5,6,6,3,5,5,6,6,3,5,5,4,5,6,5,4,3,6,7,6,5,7,4,5,4,5,6,5,4,5,4,6,6,7,4,6,5,5,6,5,3,6,5,5,6,3,6,7,6,7,4,5,6,6,5,4,7,5,6,5,8,7,6,6,5,6,8,7,7,7,7,7,7,7,6,8,8,6,7,8,9,8,9,7,7,7,10,8,8,9,8,8,9,10,10,9,10,10,8,10,11,10,10,11,12,9,12,10,11,10,13,10,7,15,12,12,14,13,12,14,13,11
10,ayehud_aleumi,4,4,5,3,9,11,8,9,7,9,8,9,8,9,9,8,10,9,11,9,8,8,8,9,10,8,11,9,9,9,9,9,8,8,11,9,9,12,8,7,9,7,10,11,8,8,10,8,9,9,9,8,8,9,8,8,10,9,9,8,10,11,8,8,8,9,9,9,8,8,8,6,9,7,9,10,11,10,9,8,10,11,8,10,11,10,9,8,8,11,11,9,11,11,9,9,11,10,9,8,9,9,9,8,8,8,9,9,9,8,6,9,7,11,9,9,7,10,12,8,11,9,8,9,8,9,7,9
-,gimlaim,10,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,2,2,1,2,8,6,7,5,7,7
6,merec,,,,,6,4,5,5,4,5,5,5,4,4,5,5,5,5,4,4,4,5,4,4,4,4,5,4,5,5,5,5,4,3,5,5,6,5,4,4,5,6,3,5,6,4,3,4,5,5,5,5,5,5,4,5,5,5,5,3,6,2,4,6,5,4,5,4,5,5,5,5,5,4,6,6,5,5,6,5,5,3,4,5,5,5,5,4,5,5,6,5,7,6,4,5,6,4,5,6,4,5,4,5,6,4,4,4,5,5,4,6,6,5,6,6,5,5,6,6,5,5,5,5,5,5,5,5
5,yahadit_atora,,,,,5,5,5,5,5,5,5,6,5,6,5,6,6,5,6,5,6,5,6,6,6,6,5,6,6,6,5,7,5,5,5,5,6,5,5,6,5,6,6,7,5,5,6,6,6,5,6,7,6,6,5,6,5,6,5,5,5,7,6,6,6,6,6,6,6,5,7,6,6,5,5,6,6,6,6,5,6,7,6,6,7,5,6,6,5,6,6,5,6,6,5,6,6,5,5,6,6,5,7,6,5,6,7,6,6,7,6,6,7,5,5,7,5,5,6,7,5,6,6,5,6,6,8,6
8,araviyot,,,,,8,7,9,8,8,8,9,8,8,8,8,9,8,8,8,8,8,8,9,8,8,8,8,8,9,8,7,7,8,8,7,8,9,9,8,8,7,7,8,7,7,8,8,8,8,7,8,8,8,8,8,8,9,7,8,10,8,8,8,8,8,10,9,9,8,8,9,8,9,9,8,8,8,10,8,9,8,7,8,9,9,8,9,7,9,8,9,8,8,8,8,8,8,8,9,8,8,8,7,8,9,8,8,6,8,7,11,10,7,8,7,8,6,9,8,7,9,7,6,7,3,8,6,10
